year,from,to,pop
2019,南投縣,南投縣,347707
2019,南投縣,嘉義市,1676
2019,南投縣,嘉義縣,2629
2019,南投縣,基隆市,2374
2019,南投縣,宜蘭縣,1508
2019,南投縣,屏東縣,2483
2019,南投縣,彰化縣,23723
2019,南投縣,新北市,48635
2019,南投縣,新竹市,3658
2019,南投縣,新竹縣,3997
2019,南投縣,桃園市,22889
2019,南投縣,澎湖縣,641
2019,南投縣,臺中市,111216
2019,南投縣,臺北市,28056
2019,南投縣,臺南市,7486
2019,南投縣,臺東縣,1655
2019,南投縣,花蓮縣,2508
2019,南投縣,苗栗縣,3406
2019,南投縣,連江縣,148
2019,南投縣,金門縣,1267
2019,南投縣,雲林縣,7116
2019,南投縣,高雄市,13154
2019,嘉義市,南投縣,1649
2019,嘉義市,嘉義市,167374
2019,嘉義市,嘉義縣,138238
2019,嘉義市,基隆市,1063
2019,嘉義市,宜蘭縣,694
2019,嘉義市,屏東縣,1762
2019,嘉義市,彰化縣,3915
2019,嘉義市,新北市,28438
2019,嘉義市,新竹市,3338
2019,嘉義市,新竹縣,3031
2019,嘉義市,桃園市,13411
2019,嘉義市,澎湖縣,709
2019,嘉義市,臺中市,21428
2019,嘉義市,臺北市,22685
2019,嘉義市,臺南市,28117
2019,嘉義市,臺東縣,516
2019,嘉義市,花蓮縣,774
2019,嘉義市,苗栗縣,1394
2019,嘉義市,連江縣,73
2019,嘉義市,金門縣,1144
2019,嘉義市,雲林縣,21314
2019,嘉義市,高雄市,17043
2019,嘉義縣,南投縣,4406
2019,嘉義縣,嘉義市,35769
2019,嘉義縣,嘉義縣,249377
2019,嘉義縣,基隆市,3140
2019,嘉義縣,宜蘭縣,1879
2019,嘉義縣,屏東縣,5408
2019,嘉義縣,彰化縣,9273
2019,嘉義縣,新北市,102811
2019,嘉義縣,新竹市,4169
2019,嘉義縣,新竹縣,3633
2019,嘉義縣,桃園市,34060
2019,嘉義縣,澎湖縣,518
2019,嘉義縣,臺中市,36989
2019,嘉義縣,臺北市,40669
2019,嘉義縣,臺南市,31575
2019,嘉義縣,臺東縣,2203
2019,嘉義縣,花蓮縣,2291
2019,嘉義縣,苗栗縣,2685
2019,嘉義縣,連江縣,85
2019,嘉義縣,金門縣,1200
2019,嘉義縣,雲林縣,24230
2019,嘉義縣,高雄市,65173
2019,基隆市,南投縣,1085
2019,基隆市,嘉義市,613
2019,基隆市,嘉義縣,856
2019,基隆市,基隆市,214022
2019,基隆市,宜蘭縣,3758
2019,基隆市,屏東縣,1372
2019,基隆市,彰化縣,2025
2019,基隆市,新北市,86714
2019,基隆市,新竹市,2937
2019,基隆市,新竹縣,2952
2019,基隆市,桃園市,21956
2019,基隆市,澎湖縣,370
2019,基隆市,臺中市,11353
2019,基隆市,臺北市,49246
2019,基隆市,臺南市,3485
2019,基隆市,臺東縣,903
2019,基隆市,花蓮縣,2038
2019,基隆市,苗栗縣,1679
2019,基隆市,連江縣,376
2019,基隆市,金門縣,1167
2019,基隆市,雲林縣,1426
2019,基隆市,高雄市,9963
2019,宜蘭縣,南投縣,1290
2019,宜蘭縣,嘉義市,612
2019,宜蘭縣,嘉義縣,877
2019,宜蘭縣,基隆市,9547
2019,宜蘭縣,宜蘭縣,366376
2019,宜蘭縣,屏東縣,1328
2019,宜蘭縣,彰化縣,2185
2019,宜蘭縣,新北市,78466
2019,宜蘭縣,新竹市,3567
2019,宜蘭縣,新竹縣,3656
2019,宜蘭縣,桃園市,27292
2019,宜蘭縣,澎湖縣,344
2019,宜蘭縣,臺中市,12135
2019,宜蘭縣,臺北市,47059
2019,宜蘭縣,臺南市,3732
2019,宜蘭縣,臺東縣,1042
2019,宜蘭縣,花蓮縣,6344
2019,宜蘭縣,苗栗縣,1605
2019,宜蘭縣,連江縣,144
2019,宜蘭縣,金門縣,969
2019,宜蘭縣,雲林縣,1524
2019,宜蘭縣,高雄市,7134
2019,屏東縣,南投縣,3274
2019,屏東縣,嘉義市,2336
2019,屏東縣,嘉義縣,3686
2019,屏東縣,基隆市,3124
2019,屏東縣,宜蘭縣,2674
2019,屏東縣,屏東縣,645011
2019,屏東縣,彰化縣,7033
2019,屏東縣,新北市,56755
2019,屏東縣,新竹市,5351
2019,屏東縣,新竹縣,5346
2019,屏東縣,桃園市,34714
2019,屏東縣,澎湖縣,1652
2019,屏東縣,臺中市,35449
2019,屏東縣,臺北市,35831
2019,屏東縣,臺南市,33092
2019,屏東縣,臺東縣,4839
2019,屏東縣,花蓮縣,3558
2019,屏東縣,苗栗縣,3185
2019,屏東縣,連江縣,254
2019,屏東縣,金門縣,2957
2019,屏東縣,雲林縣,4386
2019,屏東縣,高雄市,162709
2019,彰化縣,南投縣,29544
2019,彰化縣,嘉義市,4004
2019,彰化縣,嘉義縣,5819
2019,彰化縣,基隆市,6237
2019,彰化縣,宜蘭縣,3134
2019,彰化縣,屏東縣,5738
2019,彰化縣,彰化縣,1052548
2019,彰化縣,新北市,146253
2019,彰化縣,新竹市,9770
2019,彰化縣,新竹縣,9321
2019,彰化縣,桃園市,48243
2019,彰化縣,澎湖縣,1184
2019,彰化縣,臺中市,195138
2019,彰化縣,臺北市,83487
2019,彰化縣,臺南市,18907
2019,彰化縣,臺東縣,4589
2019,彰化縣,花蓮縣,4181
2019,彰化縣,苗栗縣,6922
2019,彰化縣,連江縣,230
2019,彰化縣,金門縣,2733
2019,彰化縣,雲林縣,20099
2019,彰化縣,高雄市,33646
2019,新北市,南投縣,6407
2019,新北市,嘉義市,3928
2019,新北市,嘉義縣,9724
2019,新北市,基隆市,38251
2019,新北市,宜蘭縣,16143
2019,新北市,屏東縣,7540
2019,新北市,彰化縣,15472
2019,新北市,新北市,1463493
2019,新北市,新竹市,10956
2019,新北市,新竹縣,14310
2019,新北市,桃園市,161589
2019,新北市,澎湖縣,1859
2019,新北市,臺中市,46581
2019,新北市,臺北市,244878
